age,job,saving_accounts,checking_account,credit_amount,duration,purpose,risk
30,3,moderate,little,2249,18,car,good
28,2,little,little,1108,12,repairs,bad
56,2,little,,618,12,radio/TV,good
54,2,little,little,1409,12,car,good
33,1,,,797,12,radio/TV,bad
20,2,,rich,3617,24,furniture/equipment,good
54,2,rich,moderate,1318,12,car,good
58,2,little,moderate,15945,54,business,bad
61,2,,,2012,12,education,good
34,2,moderate,moderate,2622,18,business,good
36,2,little,moderate,2337,36,radio/TV,good
36,3,,moderate,7057,20,car,good
41,1,moderate,,1469,24,car,good
24,2,little,moderate,2323,36,radio/TV,good
24,2,little,,932,6,radio/TV,good
35,2,little,moderate,1919,9,furniture/equipment,good
26,2,,,2445,12,car,good
39,3,little,moderate,11938,24,vacation/others,bad
39,3,little,,6458,18,car,bad
32,2,little,moderate,6078,12,car,good
30,2,,little,7721,24,furniture/equipment,good
35,2,quite rich,moderate,1410,14,business,good
31,2,moderate,moderate,1449,6,business,good
23,2,little,rich,392,15,education,good
28,1,little,moderate,6260,18,car,good
25,2,little,,7855,36,car,bad
35,2,quite rich,little,1680,12,radio/TV,good
47,2,,,3578,48,radio/TV,good
30,3,,little,7174,42,radio/TV,bad
27,2,,little,2132,10,furniture/equipment,good
23,2,quite rich,little,4281,33,furniture/equipment,bad
36,3,quite rich,moderate,2366,12,car,good
25,2,little,little,1835,21,radio/TV,bad
41,3,little,,3868,24,car,good
24,1,little,,1768,12,furniture/equipment,good
63,2,little,rich,781,10,car,good
27,2,,moderate,1924,18,furniture/equipment,bad
30,2,little,little,2121,12,car,good
40,1,little,little,701,12,radio/TV,good
30,2,little,moderate,639,12,repairs,bad
34,3,little,moderate,1860,12,car,good
29,2,little,little,3499,12,car,bad
24,2,,moderate,8487,48,car,good
29,2,little,little,6887,36,education,bad
27,1,little,,2708,15,furniture/equipment,good
47,2,little,,1984,18,furniture/equipment,good
21,2,moderate,,10144,60,radio/TV,good
38,2,,,1240,12,radio/TV,good
27,2,rich,,8613,27,car,good
66,1,quite rich,moderate,766,12,radio/TV,bad
35,2,,moderate,2728,15,radio/TV,good
44,1,little,rich,1881,12,radio/TV,good
27,0,rich,rich,709,6,car,good
30,3,little,moderate,4795,36,radio/TV,good
27,3,little,little,3416,27,radio/TV,good
22,2,little,little,2462,18,furniture/equipment,bad
23,2,little,,2288,21,furniture/equipment,good
30,2,moderate,moderate,3566,48,business,good
39,2,little,little,860,6,car,good
51,2,moderate,,682,12,car,good
28,2,little,little,5371,36,furniture/equipment,good
46,2,rich,,1582,18,radio/TV,good
42,2,moderate,,1346,6,radio/TV,good
38,2,little,,1924,10,radio/TV,good
24,2,little,rich,5848,36,radio/TV,good
29,2,rich,moderate,7758,24,car,good
36,3,moderate,moderate,6967,24,business,good
20,2,little,little,1282,12,furniture/equipment,bad
48,2,moderate,little,1288,9,repairs,good
45,1,little,little,339,12,education,good
38,2,moderate,moderate,3512,24,car,good
34,1,,,1898,6,radio/TV,good
36,2,moderate,,2872,24,radio/TV,good
30,2,little,,1055,18,car,good
36,2,quite rich,,1262,15,domestic appliances,good
70,3,little,moderate,7308,10,car,good
36,2,quite rich,,909,36,car,good
32,2,quite rich,,2978,6,furniture/equipment,good
33,2,little,little,1131,18,furniture/equipment,bad
20,2,rich,moderate,1577,11,furniture/equipment,good
25,2,little,,3972,24,furniture/equipment,good
31,2,little,moderate,1935,24,business,bad
33,2,little,little,950,15,car,bad
26,2,little,,763,12,furniture/equipment,good
34,3,little,moderate,2064,24,furniture/equipment,bad
33,2,little,moderate,1414,8,radio/TV,good
26,2,little,little,3414,21,education,bad
53,3,,,7485,30,car,bad
42,2,little,little,2577,12,furniture/equipment,good
52,2,quite rich,little,338,6,radio/TV,good
31,3,little,,1963,12,radio/TV,good
65,2,little,little,571,21,car,good
28,2,little,,9572,36,business,bad
30,3,little,moderate,4455,36,business,bad
40,1,,little,1647,21,car,bad
50,2,rich,,3777,24,furniture/equipment,good
36,2,little,moderate,884,18,car,bad
31,2,little,,1360,15,radio/TV,good
74,3,little,moderate,5129,9,car,bad
68,0,little,moderate,1175,16,car,good
20,2,moderate,little,674,12,radio/TV,bad
33,2,little,moderate,3244,18,furniture/equipment,good
54,3,rich,,4591,24,business,bad
34,1,moderate,moderate,3844,48,business,bad
36,2,little,moderate,3915,27,business,bad
29,2,little,,2108,6,radio/TV,good
21,2,moderate,moderate,3031,45,radio/TV,bad
34,3,little,moderate,1501,9,education,bad
28,2,little,,1382,6,radio/TV,good
27,2,moderate,moderate,951,12,furniture/equipment,bad
36,2,,moderate,2760,24,car,good
40,3,little,moderate,4297,18,furniture/equipment,bad
52,2,quite rich,,936,9,education,good
27,1,little,little,1168,12,car,good
26,2,little,,5117,27,business,good
21,2,little,little,902,12,education,bad
38,1,little,,1495,12,car,good
38,3,little,little,10623,30,car,good
43,2,little,,1935,12,furniture/equipment,good
26,2,little,moderate,1424,12,domestic appliances,good
21,1,little,little,6568,24,business,good
55,2,rich,,1413,12,car,good
33,2,,,3074,9,radio/TV,good
45,1,,,3835,36,radio/TV,good
50,2,little,little,5293,27,business,bad
66,3,little,rich,1908,30,business,bad
51,2,,,3342,36,radio/TV,good
39,1,,moderate,932,6,education,good
31,2,little,little,3104,18,business,good
23,2,little,rich,3913,36,radio/TV,good
24,1,little,little,3021,24,furniture/equipment,good
64,2,little,,1364,10,car,good
26,1,little,moderate,625,12,radio/TV,good
23,2,,little,1200,12,education,good
30,2,little,,707,12,radio/TV,good
32,2,,,2978,24,business,good
30,2,little,,4657,15,car,good
27,2,little,,2613,36,repairs,good
27,2,rich,moderate,10961,48,radio/TV,bad
53,3,little,little,7865,12,furniture/equipment,bad
22,2,little,,1478,9,radio/TV,bad
22,2,little,little,3149,24,furniture/equipment,good
26,2,little,rich,4210,36,radio/TV,bad
51,1,quite rich,,2507,9,car,good
35,2,moderate,,2141,12,radio/TV,good
25,1,little,moderate,866,18,radio/TV,good
42,1,little,,1544,4,radio/TV,good
30,3,little,little,1823,24,radio/TV,bad
23,0,,moderate,14555,6,car,bad
61,1,moderate,moderate,2767,21,business,bad
35,2,little,,1291,12,radio/TV,good
39,2,little,little,2522,30,radio/TV,good
29,2,,little,915,24,car,bad
51,2,little,,1595,6,radio/TV,good
24,2,little,little,4605,48,car,bad
27,2,little,,1185,12,business,good
35,1,quite rich,,3447,12,education,good
25,2,little,,1258,24,business,good
52,2,little,,717,12,radio/TV,good
35,2,moderate,,1204,6,car,good
26,2,little,rich,1925,24,furniture/equipment,good
22,2,little,,433,18,radio/TV,bad
39,1,rich,little,666,6,car,good
46,1,little,rich,2251,12,furniture/equipment,good
24,2,little,moderate,2150,30,car,bad
35,2,moderate,,4151,24,furniture/equipment,good
24,2,,moderate,2030,9,furniture/equipment,good
27,1,,moderate,7418,60,radio/TV,good
35,1,little,,2684,24,radio/TV,good
29,2,little,little,2149,12,radio/TV,bad
23,2,moderate,,3812,15,car,good
57,1,moderate,,1154,11,radio/TV,good
27,2,little,little,1657,12,furniture/equipment,good
55,2,little,little,1603,24,radio/TV,good
36,3,little,little,5302,18,car,good
57,1,little,,2748,12,education,good
32,1,little,,1231,10,car,good
37,2,little,moderate,802,15,radio/TV,bad
36,2,,,6304,36,business,good
38,2,little,,1533,24,radio/TV,good
45,3,little,little,8978,14,car,bad
25,2,,,999,24,radio/TV,good
32,2,,,2662,18,car,good
37,2,quite rich,,1402,12,furniture/equipment,good
36,3,,moderate,12169,48,car,good
28,2,little,moderate,3060,48,radio/TV,bad
34,1,little,little,11998,30,repairs,bad
32,2,little,,2697,9,radio/TV,good
26,2,little,,2404,18,radio/TV,good
49,1,,little,1262,12,furniture/equipment,good
32,2,little,,4611,6,furniture/equipment,bad
29,3,moderate,,1901,24,radio/TV,good
23,2,rich,,3368,15,car,good
50,2,little,,1574,12,furniture/equipment,good
49,1,,rich,1445,18,radio/TV,good
63,2,,,1520,15,furniture/equipment,good
37,2,moderate,moderate,3878,24,car,good
35,1,little,little,10722,47,car,good
26,2,little,little,4788,48,car,good
31,3,moderate,moderate,7582,48,vacation/others,good
49,2,little,moderate,1092,12,radio/TV,good
48,2,little,little,1024,24,radio/TV,bad
26,2,little,,1076,12,business,good
28,3,little,moderate,9398,36,car,bad
44,3,little,little,6419,24,car,good
56,2,little,rich,4796,42,car,good
46,3,,,7629,48,business,good
26,2,little,moderate,9960,48,furniture/equipment,bad
20,2,,,4675,12,car,good
45,1,,,1287,10,car,good
43,2,little,,2515,18,furniture/equipment,good
32,2,rich,moderate,2745,21,furniture/equipment,good
54,0,little,,672,6,car,good
42,2,little,moderate,3804,36,radio/TV,bad
37,1,,rich,1344,24,car,bad
49,2,little,little,1038,10,car,good
44,2,quite rich,,10127,48,car,bad
33,2,rich,,1543,6,furniture/equipment,good
24,1,,,4811,30,car,good
33,1,moderate,little,727,12,radio/TV,bad
24,2,little,moderate,1237,8,furniture/equipment,bad
22,1,little,moderate,276,9,car,good
40,0,,moderate,5381,48,vacation/others,good
25,2,moderate,,5511,24,furniture/equipment,good
26,2,little,rich,3749,24,furniture/equipment,good
25,1,little,moderate,685,12,car,bad
29,1,,rich,1494,4,car,good
31,2,little,little,2746,36,furniture/equipment,bad
38,1,little,little,708,12,furniture/equipment,good
48,1,,moderate,4351,24,furniture/equipment,good
32,2,little,,701,12,education,good
27,1,little,little,3643,15,furniture/equipment,good
28,3,little,moderate,4249,30,car,bad
32,2,little,little,1938,24,radio/TV,bad
34,3,little,little,2910,24,car,good
28,2,rich,little,2659,18,furniture/equipment,good
36,2,little,,1028,18,car,good
39,1,little,little,3398,8,car,good
49,2,,,5801,12,furniture/equipment,good
34,2,rich,,1525,24,car,good
31,2,little,rich,4473,36,radio/TV,good
28,2,little,moderate,1068,6,radio/TV,good
75,3,little,little,6615,24,car,good
30,2,moderate,,1864,18,education,bad
24,3,moderate,moderate,7408,60,car,bad
24,1,moderate,,11590,48,car,bad
23,2,little,little,4110,24,furniture/equipment,bad
44,3,little,little,3384,6,furniture/equipment,bad
23,1,little,moderate,2101,13,radio/TV,good
24,2,,little,1275,15,domestic appliances,bad
28,2,little,little,4169,24,furniture/equipment,good
31,1,little,moderate,1521,10,furniture/equipment,good
24,2,little,moderate,5743,24,education,good
26,1,little,little,3599,21,furniture/equipment,good
25,2,quite rich,moderate,3213,18,radio/TV,good
33,3,little,moderate,4439,18,business,good
37,1,little,rich,3949,10,car,good
43,1,little,,1459,15,radio/TV,good
23,2,little,moderate,882,13,radio/TV,good
23,0,quite rich,moderate,3758,24,radio/TV,good
34,1,moderate,,1743,6,business,good
32,2,rich,moderate,1136,9,education,bad
23,2,little,,1236,9,domestic appliances,good
29,2,little,moderate,959,9,furniture/equipment,bad
38,3,,,3229,18,car,good
28,2,little,little,6199,12,radio/TV,bad
46,2,quite rich,,727,10,education,good
23,1,little,moderate,1246,24,car,bad
49,2,,,2331,12,radio/TV,good
26,3,little,,4463,36,radio/TV,bad
28,2,little,,776,12,radio/TV,good
23,2,little,little,2406,30,furniture/equipment,bad
61,2,,moderate,1239,18,education,good
37,3,,rich,3399,12,radio/TV,good
36,2,little,rich,2247,12,car,good
21,2,little,,1766,6,furniture/equipment,good
25,0,little,little,2473,18,furniture/equipment,bad
36,2,little,,1542,12,business,good
27,2,little,,3850,18,car,good
22,2,little,little,3650,18,furniture/equipment,good
42,2,little,little,3446,36,furniture/equipment,bad
40,2,little,moderate,3001,18,furniture/equipment,good
36,2,,,3079,36,car,good
33,2,little,,6070,18,radio/TV,good
23,2,little,,2146,10,furniture/equipment,good
63,3,,,13756,60,car,good
60,3,moderate,moderate,14782,60,vacation/others,bad
37,2,little,little,7685,48,business,bad
34,2,little,,2320,18,radio/TV,good
36,2,,,846,7,radio/TV,good
57,3,little,moderate,14318,36,car,bad
52,1,moderate,,362,6,car,good
39,2,,little,2212,20,furniture/equipment,good
38,3,little,moderate,12976,18,car,bad
25,2,,,1283,22,car,good
26,2,little,rich,1330,12,car,good
26,1,moderate,,4272,30,business,good
25,2,little,,2238,18,radio/TV,good
21,2,,,1126,18,radio/TV,good
40,3,little,moderate,7374,18,furniture/equipment,good
27,2,quite rich,moderate,2326,15,business,good
27,2,little,,1449,9,business,good
30,3,little,,1820,18,car,good
19,1,rich,moderate,983,12,furniture/equipment,good
39,3,little,little,3249,36,car,good
31,2,little,little,1957,6,radio/TV,good
31,3,little,,2406,9,furniture/equipment,good
32,2,moderate,moderate,11760,39,education,good
55,3,little,little,2578,12,furniture/equipment,good
46,2,little,little,2348,36,furniture/equipment,good
46,2,little,moderate,1223,12,car,bad
43,1,rich,,1516,24,radio/TV,good
39,2,little,,1473,18,radio/TV,good
28,2,,moderate,1887,18,business,good
27,2,little,,8648,24,business,bad
27,1,little,,802,14,car,good
43,2,,moderate,2899,18,car,good
22,2,little,moderate,2039,24,radio/TV,bad
43,2,,,2197,24,car,good
27,2,little,little,1053,15,radio/TV,good
26,3,quite rich,,3235,24,radio/TV,good
28,2,quite rich,rich,939,12,car,bad
20,2,little,moderate,1967,24,radio/TV,good
35,3,little,,7253,33,car,good
42,3,little,,2292,12,business,bad
40,1,quite rich,,1597,10,car,good
35,2,,little,1381,24,car,bad
35,2,little,,5842,36,car,good
33,1,little,little,2579,12,car,bad
23,2,,little,8471,18,education,good
31,3,quite rich,,2782,21,car,good
33,2,,moderate,1042,18,car,bad
20,2,rich,,3186,15,car,good
30,2,,moderate,2028,12,car,good
47,1,little,moderate,958,12,car,good
34,3,moderate,,1591,21,furniture/equipment,good
25,2,,moderate,2762,12,furniture/equipment,bad
21,2,little,moderate,2779,18,car,good
29,2,little,,2743,28,radio/TV,good
46,2,rich,,1149,18,radio/TV,good
20,2,little,,1313,9,furniture/equipment,good
55,0,little,little,1190,18,repairs,bad
74,1,little,,3448,5,business,good
29,3,little,moderate,11328,24,vacation/others,bad
36,3,little,little,1872,6,furniture/equipment,good
33,2,little,,2058,24,repairs,good
25,2,little,little,2136,9,furniture/equipment,good
25,2,,moderate,1484,12,radio/TV,bad
23,1,quite rich,,660,6,repairs,good
37,2,rich,,1287,24,car,good
65,0,little,little,3394,42,repairs,good
26,0,little,rich,609,12,business,bad
39,3,little,,1884,12,car,good
30,2,little,little,1620,12,furniture/equipment,good
29,2,little,moderate,2629,20,vacation/others,good
41,1,little,,719,12,education,bad
30,3,little,moderate,5096,48,furniture/equipment,bad
41,1,,,1244,9,education,good
34,2,little,little,1842,36,car,bad
35,2,little,moderate,2576,7,radio/TV,good
55,3,,rich,1424,12,furniture/equipment,good
61,2,rich,moderate,1512,15,repairs,bad
30,3,,,11054,36,car,good
29,2,little,,518,6,radio/TV,good
34,2,little,,2759,12,furniture/equipment,good
35,3,little,,2670,24,car,good
31,2,little,little,4817,24,car,bad
29,3,little,,2679,24,car,good
36,2,little,little,3905,11,car,good
35,2,little,little,3386,12,car,bad
27,2,little,little,343,6,domestic appliances,good
32,2,little,,4594,18,radio/TV,good
37,2,little,little,3620,36,furniture/equipment,good
36,2,little,little,1721,15,car,good
34,3,little,moderate,3017,12,furniture/equipment,good
38,2,,moderate,754,12,education,good
34,2,little,,1950,18,business,good
63,2,little,little,2924,24,car,good
29,1,little,little,1659,24,radio/TV,bad
32,2,,,7238,48,radio/TV,good
26,2,little,,2764,33,business,good
35,1,little,,4679,24,car,good
22,2,moderate,moderate,3092,24,radio/TV,bad
23,2,little,little,448,6,education,bad
28,1,little,little,654,9,car,bad
36,3,,,1238,6,education,good
33,2,little,moderate,1245,18,radio/TV,bad
26,2,little,little,3114,18,furniture/equipment,bad
24,2,quite rich,,2569,39,car,good
25,2,little,rich,5152,24,radio/TV,good
39,1,moderate,moderate,1037,12,business,good
44,2,little,little,1478,15,furniture/equipment,good
23,1,little,moderate,3573,12,radio/TV,good
26,2,little,moderate,1201,24,car,good
57,2,rich,little,3622,30,furniture/equipment,good
30,2,rich,,960,15,furniture/equipment,good
44,2,quite rich,,1163,12,car,good
47,3,little,moderate,1209,6,car,bad
52,2,little,,3077,12,radio/TV,good
62,2,little,,3757,24,car,good
35,1,moderate,,1418,10,car,good
26,2,little,,3518,6,car,good
26,2,little,,1934,12,radio/TV,good
42,3,little,moderate,8318,27,business,bad
27,2,moderate,,1237,6,radio/TV,good
38,2,,moderate,368,6,radio/TV,good
39,1,little,little,2122,12,car,good
20,2,,little,2996,24,furniture/equipment,bad
29,3,moderate,moderate,9034,36,furniture/equipment,bad
40,2,little,,1585,24,furniture/equipment,good
32,1,little,moderate,1301,18,radio/TV,good
28,2,moderate,rich,1323,6,car,good
27,2,little,little,3123,24,car,bad
42,2,little,little,5493,36,car,good
49,2,moderate,rich,1126,9,radio/TV,good
38,2,moderate,moderate,1216,24,radio/TV,bad
24,2,little,little,1207,24,car,bad
27,1,,,1309,10,car,bad
36,2,quite rich,rich,2360,15,car,good
34,3,moderate,moderate,6850,15,car,bad
28,2,little,,1413,24,radio/TV,good
45,3,moderate,,8588,39,car,good
26,2,little,little,759,12,car,bad
32,3,little,,4686,36,car,good
26,2,little,rich,2687,15,business,good
20,2,little,moderate,585,12,radio/TV,good
54,2,,,2255,24,car,good
37,2,little,little,609,6,car,good
40,1,little,little,1361,6,car,good
23,2,little,,7127,36,furniture/equipment,bad
43,2,moderate,little,1203,6,car,good
36,2,,,700,6,radio/TV,good
44,2,little,,5507,24,repairs,good
24,2,little,little,3190,18,radio/TV,bad
53,2,little,little,7119,48,furniture/equipment,bad
23,2,moderate,,3488,24,car,good
26,1,little,moderate,1113,18,radio/TV,good
30,2,little,moderate,7966,26,car,good
31,2,moderate,,1532,15,education,good
42,1,little,,1503,4,radio/TV,good
31,2,little,little,2302,36,radio/TV,bad
41,1,little,little,662,6,car,good
32,2,little,moderate,2273,36,education,good
28,2,moderate,moderate,2631,15,car,bad
41,2,little,,1503,12,car,good
26,2,moderate,,1311,24,radio/TV,good
25,2,,,3105,24,radio/TV,good
33,2,little,rich,2319,21,education,bad
75,3,,little,1374,6,car,good
37,2,little,moderate,3612,18,furniture/equipment,good
42,3,little,little,7763,48,car,bad
45,1,little,rich,3049,18,furniture/equipment,good
23,2,little,moderate,1534,12,radio/TV,bad
60,2,little,,2032,24,car,good
31,2,,little,6350,30,furniture/equipment,bad
34,1,little,rich,2864,18,furniture/equipment,bad
61,1,little,,1255,12,car,good
43,2,little,little,1333,24,car,bad
37,2,little,,2022,24,car,good
32,2,little,,1552,24,radio/TV,good
24,1,little,little,626,12,radio/TV,bad
35,2,,,8858,48,car,good
23,2,,,996,12,repairs,good
45,1,quite rich,,1750,6,radio/TV,good
34,2,little,little,6999,48,radio/TV,bad
27,2,moderate,moderate,1995,12,car,good
67,3,little,moderate,1199,9,education,good
22,2,little,moderate,1331,12,radio/TV,bad
28,2,moderate,moderate,2278,18,car,bad
29,2,,,5003,21,car,bad
27,2,little,little,3552,24,furniture/equipment,bad
31,1,little,moderate,1928,18,furniture/equipment,bad
49,2,,little,2964,24,car,good
24,1,little,little,1546,24,radio/TV,bad
29,2,little,rich,683,6,radio/TV,good
37,2,,moderate,12389,36,car,bad
37,3,,moderate,4712,24,business,good
23,2,moderate,moderate,1553,24,radio/TV,good
36,2,little,little,1372,12,car,bad
34,2,rich,,2578,24,radio/TV,good
41,2,,moderate,3979,48,radio/TV,good
31,2,little,little,6758,48,radio/TV,bad
23,1,little,little,3234,24,furniture/equipment,bad
38,2,little,,5954,30,radio/TV,good
26,3,,,5433,24,car,good
22,1,little,little,806,15,business,good
27,1,little,moderate,1082,9,radio/TV,good
24,2,little,,2788,15,furniture/equipment,good
27,2,little,moderate,2930,12,radio/TV,good
33,2,,,1927,24,education,good
27,2,little,moderate,2820,36,car,bad
27,1,little,,937,24,education,good
30,2,little,moderate,1056,18,car,bad
49,1,little,moderate,3124,12,car,good
26,2,little,,1388,9,furniture/equipment,good
33,1,little,moderate,2384,36,repairs,bad
52,3,,,2133,12,car,good
20,2,little,little,2039,18,furniture/equipment,bad
36,2,little,little,2799,9,car,good
21,1,little,little,1289,12,furniture/equipment,good
47,1,little,little,1217,18,domestic appliances,bad
60,2,little,little,2246,12,furniture/equipment,bad
58,1,little,little,385,12,radio/TV,good
42,2,,moderate,1965,24,car,good
36,1,rich,,1572,21,business,good
20,1,little,moderate,2718,24,car,bad
40,3,,little,1358,24,vacation/others,bad
32,1,moderate,moderate,931,6,car,bad
23,2,little,little,1442,24,car,bad
36,1,little,moderate,4241,24,business,bad
31,2,little,,2775,18,car,bad
32,2,little,,3863,24,business,good
45,2,little,moderate,2329,7,radio/TV,good
30,2,little,moderate,918,9,furniture/equipment,bad
34,1,little,moderate,1837,24,education,bad
28,3,little,,3349,36,furniture/equipment,bad
23,2,little,rich,1275,10,furniture/equipment,good
22,2,quite rich,little,2828,24,furniture/equipment,good
74,3,little,,4526,24,business,good
50,2,moderate,moderate,2671,36,radio/TV,bad
33,2,little,,2051,18,radio/TV,good
45,2,,,1300,15,car,good
22,2,moderate,little,741,12,domestic appliances,bad
48,1,moderate,rich,1240,10,car,bad
29,2,rich,little,3357,21,radio/TV,good
22,2,little,little,3632,24,car,good
22,2,little,,1808,18,furniture/equipment,bad
48,3,,moderate,12204,48,business,good
27,3,,moderate,9157,60,radio/TV,good
37,2,little,little,3676,6,car,good
21,2,moderate,moderate,3441,30,furniture/equipment,bad
49,1,little,,640,12,car,good
27,2,little,moderate,3652,21,business,good
32,2,little,,1530,18,car,bad
38,2,,,3914,48,business,bad
22,2,little,little,1858,12,furniture/equipment,good
65,2,little,little,2600,18,radio/TV,bad
35,2,,,1979,15,radio/TV,good
41,2,little,rich,2116,6,furniture/equipment,good
29,2,moderate,moderate,1437,9,car,bad
36,2,quite rich,,4042,42,furniture/equipment,good
64,1,,,3832,9,education,good
28,2,little,little,3660,24,radio/TV,good
44,2,little,little,1553,18,furniture/equipment,bad
23,2,,moderate,1444,15,radio/TV,good
19,2,little,,1980,9,furniture/equipment,bad
25,1,little,moderate,1355,24,car,bad
47,2,little,,1393,12,education,good
28,2,quite rich,,1376,24,radio/TV,good
21,2,little,,15653,60,radio/TV,good
34,2,little,,1493,12,radio/TV,good
26,2,little,little,4370,42,radio/TV,bad
27,0,little,little,750,18,education,bad
38,1,little,moderate,1308,15,repairs,good
40,3,moderate,,4623,15,education,bad
33,2,little,,1851,24,radio/TV,good
32,3,little,little,1880,18,radio/TV,good
27,2,,,7980,36,business,bad
32,2,little,little,4583,30,furniture/equipment,good
26,2,quite rich,,1386,12,car,bad
38,2,little,rich,947,24,car,bad
40,1,little,little,684,12,education,bad
50,3,little,little,7476,48,education,good
37,1,little,moderate,1922,12,furniture/equipment,bad
45,2,little,little,2303,24,car,bad
42,3,moderate,moderate,8086,36,car,bad
35,2,little,,2346,24,car,good
22,2,little,little,3973,14,car,good
41,1,little,moderate,888,12,car,bad
37,2,,,10222,48,radio/TV,good
28,2,little,moderate,4221,30,business,good
41,2,little,moderate,6361,18,furniture/equipment,good
23,2,little,rich,1297,12,radio/TV,good
23,2,,little,900,12,car,bad
50,2,little,,2241,21,furniture/equipment,good
35,3,little,moderate,1050,6,furniture/equipment,good
50,1,little,rich,1047,6,education,good
27,3,little,,6314,24,vacation/others,good
34,2,rich,moderate,3496,30,furniture/equipment,good
27,2,little,,3609,48,business,good
43,2,little,little,4843,12,car,bad
47,2,little,rich,3017,30,radio/TV,good
27,1,moderate,,4139,24,business,good
31,2,moderate,,5742,36,business,good
42,3,little,,10366,60,car,good
24,2,quite rich,,2080,6,car,good
41,1,quite rich,,2580,21,business,bad
26,3,little,,4530,30,radio/TV,good
33,2,little,,5150,24,furniture/equipment,good
24,2,moderate,moderate,5595,72,radio/TV,bad
64,1,little,little,2384,24,radio/TV,good
26,2,little,,1453,18,radio/TV,good
56,2,little,,1538,6,education,good
37,2,,,2279,12,radio/TV,good
33,2,little,,1478,15,radio/TV,good
47,2,little,,5103,24,radio/TV,good
31,1,moderate,moderate,9857,36,business,good
34,2,,,6527,60,car,good
27,2,,rich,1347,10,radio/TV,good
30,2,moderate,moderate,2862,36,car,good
35,2,moderate,,2753,9,radio/TV,good
31,2,rich,little,3651,12,car,good
25,2,little,little,975,15,furniture/equipment,good
25,1,moderate,moderate,2631,15,repairs,good
